operator|version|certified|created|company|repos|ocpversion|sdkversion|operatortype|source-redhat|source-community|source-marketplace|source-certified|source-operatorhub|channel|default-channel
couchbase-operator.v1.0.0|1.0.0|false|2019-02-25T12:24:59Z|Couchbase|https://github.com/IBM/cos-bucket-operator|4.6|||||||yes|alpha|
couchbase-operator.v1.2.2|1.2.2|true|2019/08/30|Couchbase|https://github.com/CognitiveScale/cortex-hub-operator|4.6|||||yes|yes||unknown|unknown
couchbase-operator.v2.0.2|2.0.2|true|2020/08/13|Couchbase|https://github.com/IBM/cos-bucket-operator|4.6|||||||yes|alpha|
couchdb-operator.v1.0.13|1.0.13|true|2020-05-29T12:00:00Z|IBM|https://github.com/IBM/cos-bucket-operator|4.6|||||||yes|alpha|
couchdb-operator.v1.0.14|1.0.14|true|2020-08-06T12:00:00Z|IBM|https://github.com/CognitiveScale/cortex-hub-operator|4.6||||||yes||unknown|unknown
couchdb-operator.v1.1.0|1.1.0|true|2020-09-08T12:00:00Z|IBM|https://github.com/CognitiveScale/cortex-hub-operator|4.6||||||yes||unknown|unknown
couchdb-operator.v1.2.1|1.2.1|true|2020-09-15T18:00:00Z|IBM|https://github.com/CognitiveScale/cortex-hub-operator|4.6||||||yes||unknown|unknown
couchdb-operator.v1.3.0|1.3.0|true|2020-10-22T18:00:00Z|IBM|https://github.com/CognitiveScale/cortex-hub-operator|4.6|||||yes|||unknown|unknown
couchdb-operator.v1.3.1|1.3.1|true|2020-10-22T18:00:00Z|IBM|https://github.com/CognitiveScale/cortex-hub-operator|4.6||||||yes||unknown|unknown
cpx-cic-operator.v130.47.103|130.47.103|false|2020-02-06|Citrix|https://github.com/citrix/citrix-k8s-ingress-controller|4.6|||||yes|yes|||
credstash-operator.v1.13.0|1.13.0|false|2020-07-20 01:01:01|Ouzi|https://github.com/ouzi-dev/credstash-operator|4.6|v0.19.0|golang|||||yes||
crossplane.v0.11.0|0.11.0|false|2020-05-26T00:20:38.159772+00:00|Upbound|https://github.com/crossplane/crossplane|4.6|||||||yes||
crwoperator.v2.4.0|2.4.0|true|2020-09-24T13:43:48+00:00|Red Hat|https://github.com/redhat-developer/codeready-workspaces-operator/|4.6|||yes||||| alpha| ""
cyberarmor-operator.0.0.1|0.0.1|false|26-05-2020|Cyber Armor Ltd|https://github.com/citrix/citrix-k8s-ingress-controller|4.6|||||yes|yes|||
datadog-operator.v0.3.0|0.3.0|true|2020-008-31 17:01:40|Datadog|https://github.com/DataDog/datadog-operator|4.6|||||yes|yes|| alpha| ""
